voting_ID	date	time	title
1419502946	 25.12.2014	10:22:26	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) - у другому читанні та в цілому"
1419503572	 25.12.2014	10:32:52	Поіменне голосування  про проект Постанови про звернення Верховної Ради України до міжнародних організацій та міжпарламентських асамблей щодо звільнення української льотчиці та народного депутата України VIII скликання Надії Вікторівни Савченко (№1584) - за основу та в цілому
1419503625	 25.12.2014	10:33:45	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1605) "
1419503730	 25.12.2014	10:35:30	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1605) "
1419503894	 25.12.2014	10:38:14	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1605) "
1419503986	 25.12.2014	10:39:46	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Закону України ""Про безпечність та якість харчових продуктів"" (щодо реалізації на агропродовольчих ринках продукції домашнього виробництва та подвірного забою) (№1499-1) "
1419504062	 25.12.2014	10:41:02	"Поіменне голосування  про включення до порядку денного сесії проектів законів про внесення змін до пункту 3 розділу VIII Закону України ""Про забезпечення реалізації житлових прав мешканців гуртожитків"" (щодо продовження строку мораторію на відчуження гуртожитків) (№1505, №1505-1) "
1419504253	 25.12.2014	10:44:13	Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законів України (щодо скасування ліцензування імпорту активних фармацевтичних інгредієнтів) (№1498) 
1419504600	 25.12.2014	10:50:00	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Закону України ""Про мораторій на стягнення майна громадян України, наданого як забезпечення кредитів в іноземній валюті"" щодо посилення захисту прав позичальників (№1610) "
1419504629	 25.12.2014	10:50:29	Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законів України (щодо заборони вчинення виконавчого напису нотаріуса про звернення стягнення на житло)  (№1519)
1419504874	 25.12.2014	10:54:34	Поіменне голосування  про розгляд за скороченою процедурою питань, пов'язаних з прийняттям Державного бюджету
1419506856	 25.12.2014	11:27:36	Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України (щодо реформи міжбюджетних відносин) (№1557) - за основу
1419507916	 25.12.2014	11:45:16	Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України (щодо захищених видатків) (№1576) - за основу
